"user_text","intention_score","age","gender_male","gender_female","gender_non_binary"
"nobody gets me, i’m done idk","10","14","0","1","0"
"my mom will end me if i fail","0","16","0","1","0"
"my social life is over idk","1","13","1","0","0"
"i don’t wanna be here anymore","8","15","1","0","0"
"this exam is gonna kill me ","1","19","1","0","0"
"nobody gets me, i’m done lol","8","13","0","0","1"
"my social life is over ","0","14","1","0","0"
"my social life is over fr","2","17","0","1","0"
"this exam is gonna kill me lol","1","13","1","0","0"
"i don’t wanna be here anymore","8","13","0","1","0"
"i hate my life idk, i just wanna disappear","10","16","0","1","0"
"i’m so depressed, it’s all pointless","10","15","0","1","0"
"i don’t wanna be here anymore","9","19","1","0","0"
"i hate my life deadass, i just wanna disappear","9","16","1","0","0"
"this exam is gonna kill me idk","2","19","1","0","0"
"i’m dead after that tiktok binge","0","16","1","0","0"
"i don’t wanna be here anymore","10","14","0","1","0"
"i’m dead after that tiktok binge","0","19","0","1","0"
"i’m so depressed, it’s all pointless","10","17","1","0","0"
"my social life is over lol","2","17","0","0","1"
"nobody gets me, i’m done ","9","19","0","1","0"
"i hate my life lol, i just wanna disappear","10","17","0","1","0"
"i’m so depressed, it’s all pointless","8","14","0","1","0"
"this exam is gonna kill me fr","2","17","0","0","1"
"i don’t wanna be here anymore","9","13","1","0","0"
"i hate my life idk, i just wanna disappear","10","16","1","0","0"
"my mom will end me if i fail","1","18","1","0","0"
"nobody gets me, i’m done deadass","10","13","1","0","0"
"my social life is over lol","2","16","0","0","1"
"i’m dead after that tiktok binge","0","19","0","1","0"
"my mom will end me if i fail","0","17","0","0","1"
"my social life is over ","1","17","1","0","0"
"my social life is over deadass","1","15","0","1","0"
"my mom will end me if i fail","1","15","0","1","0"
"this exam is gonna kill me deadass","1","18","0","0","1"
"i don’t wanna be here anymore","9","14","0","0","1"
"i don’t wanna be here anymore","8","19","1","0","0"
"i hate my life deadass, i just wanna disappear","9","16","1","0","0"
"my mom will end me if i fail","2","17","0","0","1"
"i don’t wanna be here anymore","9","13","1","0","0"
"this exam is gonna kill me fr","2","15","0","1","0"
"i’m so depressed, it’s all pointless","9","14","1","0","0"
"this exam is gonna kill me ","0","16","0","1","0"
"this exam is gonna kill me idk","2","19","0","1","0"
"this exam is gonna kill me fr","2","17","0","1","0"
"my social life is over deadass","1","13","1","0","0"
"my social life is over deadass","2","15","0","0","1"
"i don’t wanna be here anymore","9","19","0","0","1"
"i’m dead after that tiktok binge","0","16","0","1","0"
"i’m dead after that tiktok binge","1","15","0","0","1"
"this exam is gonna kill me idk","0","17","1","0","0"
"my social life is over lol","0","14","1","0","0"
"my social life is over deadass","0","18","1","0","0"
"this exam is gonna kill me fr","2","16","1","0","0"
"my social life is over deadass","1","16","0","0","1"
"this exam is gonna kill me idk","2","18","1","0","0"
"my mom will end me if i fail","2","17","0","1","0"
"my mom will end me if i fail","1","14","1","0","0"
"this exam is gonna kill me deadass","1","14","0","1","0"
"my mom will end me if i fail","1","19","0","1","0"
"my mom will end me if i fail","2","19","1","0","0"
"i’m so depressed, it’s all pointless","10","15","0","1","0"
"my social life is over ","0","13","1","0","0"
"i’m dead after that tiktok binge","2","13","0","1","0"
"i don’t wanna be here anymore","9","15","0","0","1"
"i hate my life idk, i just wanna disappear","10","14","0","0","1"
"nobody gets me, i’m done lol","8","16","0","1","0"
"this exam is gonna kill me deadass","0","19","1","0","0"
"this exam is gonna kill me lol","2","18","1","0","0"
"my mom will end me if i fail","2","18","0","1","0"
"my social life is over lol","0","15","0","1","0"
"i’m dead after that tiktok binge","1","17","0","1","0"
"i don’t wanna be here anymore","10","18","0","0","1"
"nobody gets me, i’m done idk","10","15","1","0","0"
"my mom will end me if i fail","1","18","0","1","0"
"my mom will end me if i fail","2","14","1","0","0"
"nobody gets me, i’m done lol","8","18","0","1","0"
"nobody gets me, i’m done ","10","18","0","0","1"
"my mom will end me if i fail","0","19","1","0","0"
"i’m dead after that tiktok binge","2","17","1","0","0"
"this exam is gonna kill me ","0","16","1","0","0"
"this exam is gonna kill me ","2","17","0","1","0"
"i’m so depressed, it’s all pointless","9","19","0","0","1"
"my social life is over ","0","13","1","0","0"
"i’m dead after that tiktok binge","1","13","0","0","1"
"my social life is over idk","2","15","1","0","0"
"my mom will end me if i fail","2","14","1","0","0"
"i don’t wanna be here anymore","10","17","1","0","0"
"my mom will end me if i fail","2","18","1","0","0"
"my mom will end me if i fail","1","16","0","1","0"
"i don’t wanna be here anymore","10","18","0","0","1"
"my mom will end me if i fail","1","14","0","0","1"
"this exam is gonna kill me idk","2","13","0","0","1"
"i hate my life deadass, i just wanna disappear","9","13","0","1","0"
"this exam is gonna kill me ","2","16","1","0","0"
"nobody gets me, i’m done deadass","9","18","0","1","0"
"my mom will end me if i fail","0","16","0","0","1"
"my mom will end me if i fail","2","17","0","0","1"
"my social life is over ","1","18","0","0","1"
"this exam is gonna kill me idk","2","16","0","1","0"
"my mom will end me if i fail","2","17","1","0","0"
"my mom will end me if i fail","0","15","0","1","0"
"my mom will end me if i fail","1","17","0","1","0"
"my mom will end me if i fail","0","19","1","0","0"
"i’m dead after that tiktok binge","0","14","1","0","0"
"i’m dead after that tiktok binge","2","18","1","0","0"
"nobody gets me, i’m done deadass","8","15","1","0","0"
"i’m dead after that tiktok binge","0","16","0","1","0"
"i’m dead after that tiktok binge","2","17","0","1","0"
"i hate my life , i just wanna disappear","10","15","1","0","0"
"nobody gets me, i’m done fr","8","19","0","0","1"
"this exam is gonna kill me ","2","16","0","0","1"
"my social life is over fr","2","16","0","0","1"
"i hate my life deadass, i just wanna disappear","8","16","1","0","0"
"i don’t wanna be here anymore","8","18","0","0","1"
"my social life is over deadass","0","17","0","0","1"
"my social life is over deadass","1","19","1","0","0"
"i don’t wanna be here anymore","8","18","0","1","0"
"my social life is over idk","2","15","1","0","0"
"i’m so depressed, it’s all pointless","9","14","1","0","0"
"my mom will end me if i fail","1","14","0","0","1"
"i’m dead after that tiktok binge","2","16","1","0","0"
"my social life is over deadass","0","14","1","0","0"
"i hate my life lol, i just wanna disappear","10","14","1","0","0"
"i hate my life lol, i just wanna disappear","8","14","0","0","1"
"my social life is over lol","2","18","0","1","0"
"nobody gets me, i’m done idk","9","18","0","1","0"
"nobody gets me, i’m done lol","8","15","0","1","0"
"my mom will end me if i fail","0","18","1","0","0"
"i’m dead after that tiktok binge","0","16","0","1","0"
"nobody gets me, i’m done ","10","13","0","1","0"
"i’m dead after that tiktok binge","2","14","0","1","0"
"nobody gets me, i’m done deadass","10","17","0","0","1"
"i’m dead after that tiktok binge","1","13","0","1","0"
"i’m so depressed, it’s all pointless","10","15","1","0","0"
"nobody gets me, i’m done ","9","16","0","1","0"
"i don’t wanna be here anymore","9","15","0","1","0"
"this exam is gonna kill me lol","0","19","0","1","0"
"my social life is over deadass","2","17","0","1","0"
"this exam is gonna kill me fr","0","17","1","0","0"
"i hate my life deadass, i just wanna disappear","9","15","0","1","0"
"nobody gets me, i’m done ","8","15","1","0","0"
"nobody gets me, i’m done fr","9","17","0","0","1"
"i’m dead after that tiktok binge","1","16","0","1","0"
"my social life is over idk","1","19","1","0","0"
"i hate my life lol, i just wanna disappear","9","19","0","1","0"
"i’m so depressed, it’s all pointless","8","17","0","1","0"
"my mom will end me if i fail","1","13","0","1","0"
"my mom will end me if i fail","0","13","0","0","1"
"my mom will end me if i fail","0","17","0","0","1"
"i’m dead after that tiktok binge","2","18","0","1","0"
"i’m dead after that tiktok binge","1","16","1","0","0"
"i don’t wanna be here anymore","9","15","0","1","0"
"i don’t wanna be here anymore","8","19","1","0","0"
"i don’t wanna be here anymore","8","18","0","1","0"
"my mom will end me if i fail","2","13","0","0","1"
"my mom will end me if i fail","0","13","1","0","0"
"this exam is gonna kill me idk","0","14","1","0","0"
"i’m dead after that tiktok binge","1","17","0","1","0"
"i hate my life deadass, i just wanna disappear","10","14","0","1","0"
"i’m dead after that tiktok binge","1","13","1","0","0"
"i’m dead after that tiktok binge","0","16","0","1","0"
"i’m dead after that tiktok binge","0","18","0","1","0"
"this exam is gonna kill me lol","2","15","1","0","0"
"this exam is gonna kill me idk","1","16","0","0","1"
"i don’t wanna be here anymore","9","15","0","1","0"
"this exam is gonna kill me deadass","0","17","0","1","0"
"i don’t wanna be here anymore","8","16","0","1","0"
"my social life is over lol","1","19","0","0","1"
"i’m dead after that tiktok binge","1","17","0","1","0"
"nobody gets me, i’m done lol","8","14","0","0","1"
"i’m dead after that tiktok binge","1","15","0","0","1"
"i don’t wanna be here anymore","9","17","0","1","0"
"i’m dead after that tiktok binge","1","18","1","0","0"
"i hate my life lol, i just wanna disappear","8","13","1","0","0"
"i’m dead after that tiktok binge","1","16","1","0","0"
"i hate my life fr, i just wanna disappear","9","15","0","1","0"
"my mom will end me if i fail","2","15","0","1","0"
"my social life is over deadass","2","19","1","0","0"
"i’m so depressed, it’s all pointless","8","18","0","1","0"
"i’m dead after that tiktok binge","2","19","1","0","0"
"i’m dead after that tiktok binge","1","16","0","0","1"
"this exam is gonna kill me fr","1","14","0","1","0"
"i don’t wanna be here anymore","10","19","0","0","1"
"my social life is over fr","0","19","0","1","0"
"i’m dead after that tiktok binge","0","14","0","1","0"
"my social life is over ","1","13","1","0","0"
"this exam is gonna kill me lol","2","13","0","0","1"
"my social life is over ","2","17","0","0","1"
"my social life is over fr","0","19","1","0","0"
"my mom will end me if i fail","0","18","0","0","1"
"i’m dead after that tiktok binge","0","15","0","0","1"
"nobody gets me, i’m done deadass","8","15","0","1","0"
"my social life is over lol","0","13","0","1","0"
"i’m dead after that tiktok binge","1","14","1","0","0"
"this exam is gonna kill me ","0","18","0","1","0"
"this exam is gonna kill me ","0","18","1","0","0"
"my mom will end me if i fail","0","16","0","1","0"
"i don’t wanna be here anymore","9","15","1","0","0"
"this exam is gonna kill me fr","0","13","0","1","0"
"this exam is gonna kill me idk","2","13","1","0","0"
"my social life is over lol","0","16","0","1","0"
"i’m dead after that tiktok binge","2","17","1","0","0"
"i hate my life idk, i just wanna disappear","10","19","0","0","1"
"i’m dead after that tiktok binge","1","13","1","0","0"
"i’m dead after that tiktok binge","1","18","0","1","0"
"this exam is gonna kill me idk","0","15","1","0","0"
"this exam is gonna kill me idk","0","13","1","0","0"
"my mom will end me if i fail","1","15","0","0","1"
"i’m so depressed, it’s all pointless","8","14","1","0","0"
"my mom will end me if i fail","1","18","1","0","0"
"my social life is over idk","2","14","0","1","0"
"i’m so depressed, it’s all pointless","10","16","0","1","0"
"i’m dead after that tiktok binge","1","19","1","0","0"
"my social life is over fr","0","18","1","0","0"
"i’m dead after that tiktok binge","0","14","0","0","1"
"my mom will end me if i fail","1","14","1","0","0"
"i hate my life deadass, i just wanna disappear","10","15","1","0","0"
"i’m dead after that tiktok binge","0","16","0","1","0"
"i’m so depressed, it’s all pointless","9","14","0","1","0"
"my mom will end me if i fail","2","15","0","1","0"
"this exam is gonna kill me fr","1","13","1","0","0"
"nobody gets me, i’m done fr","8","13","0","0","1"
"i’m so depressed, it’s all pointless","8","15","0","0","1"
"nobody gets me, i’m done fr","10","18","0","0","1"
"my social life is over idk","2","13","0","0","1"
"i don’t wanna be here anymore","8","14","0","1","0"
"i’m dead after that tiktok binge","2","15","1","0","0"
"my mom will end me if i fail","1","14","0","1","0"
"i’m dead after that tiktok binge","0","16","1","0","0"
"i’m dead after that tiktok binge","2","13","0","0","1"
"this exam is gonna kill me lol","2","15","0","0","1"
"i’m so depressed, it’s all pointless","8","15","0","0","1"
"my mom will end me if i fail","2","16","0","1","0"
"my social life is over deadass","1","16","0","0","1"
"i don’t wanna be here anymore","8","15","0","0","1"
"i’m so depressed, it’s all pointless","10","17","1","0","0"
"my mom will end me if i fail","0","19","1","0","0"
"this exam is gonna kill me fr","2","13","0","1","0"
"i’m so depressed, it’s all pointless","8","19","1","0","0"
"this exam is gonna kill me idk","1","18","0","0","1"
"my social life is over idk","1","14","0","1","0"
"this exam is gonna kill me deadass","0","13","1","0","0"
"nobody gets me, i’m done deadass","8","18","0","0","1"
"my social life is over deadass","0","16","0","1","0"
"my social life is over ","0","19","0","0","1"
"nobody gets me, i’m done idk","10","19","0","1","0"
"nobody gets me, i’m done ","8","15","1","0","0"
"i hate my life , i just wanna disappear","10","18","0","1","0"
"i’m so depressed, it’s all pointless","10","18","0","1","0"
